Entry	is	we	on	that
Sparse Learning with Stochastic Composite Optimization	3	4	0	2
Planar Structure-from-Motion with Affine Camera Models: Closed-Form Solutions, Ambiguities and Degeneracy Analysis	9	5	0	4
Cross Validation Through Two-Dimensional Solution Surface for Cost-Sensitive SVM	2	4	5	3
Parametric Surface Diffeomorphometry for Low Dimensional Embeddings of Dense Segmentations and Imagery	3	5	2	0
A Behavioral Handwriting Model for Static and Dynamic Signature Synthesis	1	1	1	0
Pose Estimation from Line Correspondences: A Complete Analysis and a Series of Solutions	1	4	0	0
Face Search at Scale	2	3	8	2
Best Fitting Hyperplanes for Classification	3	2	3	3
Trainable Nonlinear Reaction Diffusion: A Flexible Framework for Fast and Effective Image Restoration	2	4	3	1
Frequency-Domain Transient Imaging	3	2	2	1
Generation of Duplicated Off-Line Signature Images for Verification Systems	3	2	5	1
$L_0$ Regularized Stationary-Time Estimation for Crowd Analysis	6	1	2	0
A Stable Analytical Framework for Isometric Shape-from-Template by Surface Integration	4	5	0	3
Efficient Activity Detection in Untrimmed Video with Max-Subgraph Search	2	8	2	4
Elastic Functional Coding of Riemannian Trajectories	3	5	3	4
Detecting Flying Objects Using a Single Moving Camera	0	4	1	3
Super Normal Vector for Human Activity Recognition with Depth Cameras	1	2	1	0
Nasal Patches and Curves for Expression-Robust 3D Face Recognition	6	0	4	0
Co-Saliency Detection via a Self-Paced Multiple-Instance Learning Framework	1	1	4	0
Screening Tests for Lasso Problems	1	2	1	1
Bayesian Time-of-Flight for Realtime Shape, Illumination and Albedo	1	7	1	1
Dynamic Whitening Saliency	2	3	1	3
Hyperbolic Harmonic Mapping for Surface Registration	3	1	3	2
Rank Pooling for Action Recognition	2	6	1	5
Joint <italic>A Contrario</italic> Ellipse and Line Detection	1	2	3	2
Local Log-Euclidean Multivariate Gaussian Descriptor and Its Application to Image Classification	6	2	1	4
Salient Object Detection via Structured Matrix Decomposition	3	2	1	2
Learning to Generate Chairs, Tables and Cars with Convolutional Networks	0	3	2	2
Fully Convolutional Networks for Semantic Segmentation	1	4	2	4
Learning Category-Specific Deformable 3D Models for Object Reconstruction	2	4	4	2
Object Instance Segmentation and Fine-Grained Localization Using Hypercolumns	0	5	3	1
Show and Tell: Lessons Learned from the 2015 MSCOCO Image Captioning Challenge	3	5	2	3
Deep Visual-Semantic Alignments for Generating Image Descriptions	1	5	5	5
Long-Term Recurrent Convolutional Networks for Visual Recognition and Description	2	2	1	3
Visual Vibrometry: Estimating Material Properties from Small Motions in Video	1	3	1	2
Building Proteins in a Day: Efficient 3D Molecular Structure Estimation with Electron Cryomicroscopy	3	1	2	2
Recovering Inner Slices of Layered Translucent Objects by Multi-Frequency Illumination	2	3	1	0
Efficient Globally Optimal Consensus Maximisation with Tree Search	3	2	2	1
Guest Editorial: Best of CVPR 2015	0	0	0	0
Calcium Ion Fluctuations Alter Channel Gating in a Stochastic Luminal Calcium Release Site Model	3	2	0	4
On the Complexity of Duplication-Transfer-Loss Reconciliation with Non-Binary Gene Trees	2	1	1	2
Sorting Circular Permutations by Super Short Reversals	0	4	1	1
Searching Genome-Wide Multi-Locus Associations for Multiple Diseases Based on Bayesian Inference	2	3	4	2
Prediction and Validation of Disease Genes Using HeteSim Scores	1	2	1	3
A Modified Multiple Alignment Fast Fourier Transform with Higher Efficiency	6	2	1	2
Efficient Constant-Time Complexity Algorithm for Stochastic Simulation of Large Reaction Networks	4	2	1	1
Drug-Target Interaction Prediction with Graph Regularized Matrix Factorization	3	3	2	4
RNA Visualization: Relevance and the Current State-of-the-Art Focusing on Pseudoknots	2	3	2	2
Leveraging FPGAs for Accelerating Short Read Alignment	5	2	4	1
An Effective Computational Method Incorporating Multiple Secondary Structure Predictions in Topology Determination for Cryo-EM Images	5	3	1	4
Classical Mechanics Approach Applied to Analysis of Genetic Oscillators	2	2	2	2
PCID: A Novel Approach for Predicting Disease Comorbidity by Integrating Multi-Scale Data	3	2	1	3
Protein Complex Detection via Effective Integration of Base Clustering Solutions and Co-Complex Affinity Scores	0	5	0	2
Robust Reachability of Boolean Control Networks	2	0	1	0
A Heterogeneous Network Based Method for Identifying GBM-Related Genes by Integrating Multi-Dimensional Data	1	1	0	3
Genomic Distance with High Indel Costs	0	2	1	1
txCoords: A Novel Web Application for Transcriptomic Peak Re-Mapping	2	1	0	0
Bi-convex Optimization to Learn Classifiers from Multiple Biomedical Annotations	4	1	4	2
Modeling Healthcare Quality via Compact Representations of Electronic Health Records	1	4	2	0
From Protein Sequence to Protein Function via Multi-Label Linear Discriminant Analysis	2	3	0	0
Efficient Approach to Correct Read Alignment for Pseudogene Abundance Estimates	4	2	0	3
Prognosis of Clinical Outcomes with Temporal Patterns and Experiences with One Class Feature Selection	2	4	1	5
Applications of Transductive Spectral Clustering Methods in a Military Medical Concussion Database	2	2	0	2
Towards Unsupervised Gene Selection: A Matrix Factorization Framework	2	2	2	0
Guest Editors¡¯ Introduction to the Special Section on Bioinformatics Research and Applications	0	0	1	0
Guest Editorial: Special Section on Biological Data Mining and Its Applications in Healthcare	1	0	2	1
NovoExD: <italic>De novo</italic> Peptide Sequencing for ETD/ECD Spectra	4	0	3	3
Predicting Protein Functions by Using Unbalanced Random Walk Algorithm on Three Biological Networks	1	1	4	2
United Complex Centrality for Identification of Essential Proteins from PPI Networks	1	3	0	4
Identifying Spurious Interactions in the Protein-Protein Interaction Networks Using Local Similarity Preserving Embedding	0	2	1	1
An Approach for Peptide Identification by De Novo Sequencing of Mixture Spectra	1	2	0	1
A Two-Phase Improved Correlation Method for Automatic Particle Selection in Cryo-EM	2	5	1	1
Microbiome Data Representation by Joint Nonnegative Matrix Factorization with Laplacian Regularization	0	2	1	1
Optimizing Analytical Depth and Cost Efficiency of IEF-LC/MS Proteomics	3	7	2	3
Muscle Tissue Labeling of Human Lower Limb in Multi-Channel mDixon MR Imaging: Concepts and Applications	3	5	1	1
Analysis of Organization of the Interactome Using Dominating Sets: A Case Study on Cell Cycle Interaction Networks	0	2	3	1
Improving Recognition of Antimicrobial Peptides and Target Selectivity through Machine Learning and Genetic Programming	4	1	4	3
Discovering Protein-DNA Binding Cores by Aligned Pattern Clustering	3	0	1	2
Multi-View Clustering of Microbiome Samples by Robust Similarity Network Fusion and Spectral Clustering	0	1	1	1
A New Scheme to Characterize and Identify Protein Ubiquitination Sites	0	1	2	2
Optimal Landmark Selection for Registration of 4D Confocal Image Stacks in Arabidopsis	2	2	1	3
Extending and Applying Spartan to Perform Temporal Sensitivity Analyses for Predicting Changes in Influential Biological Pathways in Computational Models	2	3	0	6
Algorithms and Complexity Results for Genome Mapping Problems	2	3	2	6
Genome-Wide Semi-Automated Annotation of Transporter Systems	4	0	2	1
A Resolution of the Static Formulation Question for the Problem of Computing the History Bound	2	4	2	4
A Flexible Computational Framework Using R and Map-Reduce for Permutation Tests of Massive Genetic Analysis of Complex Traits	3	5	1	2
D-Map: Random Walking on Gene Network Inference Maps Towards differential Avenue Discovery	2	1	1	1
Building Ancestral Recombination Graphs for Whole Genomes	0	1	1	1
A Linear Bound on the Number of States in Optimal Convex Characters for Maximum Parsimony Distance	5	1	7	4
Metabolic Flux Analysis in Isotope Labeling Experiments Using the Adjoint Approach	4	1	0	0
Pubcast and Genecast: Browsing and Exploring Publications and Associated Curated Content in Biology Through Mobile Devices	0	1	2	0
A Characterization of Minimum Spanning Tree-Like Metric Spaces	1	1	2	1
Guest Editors Introduction to the Special Section on ISBRA 2014	0	0	1	0
Editorial from the New Editor-in-Chief	0	0	0	0
Guest Editorial for Special Section on BIBM 2014	0	0	1	0
A Novel Cluster Head Selection Algorithm Based on Fuzzy Clustering and Particle Swarm Optimization	5	1	4	1
Fireworks Algorithm with Enhanced Fireworks Interaction	0	0	2	1
Three-Dimensional Path Planning for Uninhabited Combat Aerial Vehicle Based on Predator-Prey Pigeon-Inspired Optimization in Dynamic Environment	5	0	2	1
An Effective Application of Bacteria Quorum Sensing and Circular Elimination in MOPSO	3	0	2	2
Symbiosis-Based Alternative Learning Multi-Swarm Particle Swarm Optimization	2	0	1	2
Solving NP-Hard Problems with <italic>Physarum</italic>-Based Ant Colony System	2	0	0	2
A New Magnetotactic Bacteria Optimization Algorithm Based on Moment Migration	4	0	3	2
A Gene Selection Method for Microarray Data Based on Binary PSO Encoding Gene-to-Class Sensitivity Information	3	0	3	0
Multi-Objective Particle Swarm Optimization Approach for Cost-Based Feature Selection in Classification	7	0	1	3
A Cooperative Framework for Fireworks Algorithm	3	0	1	3
A Graph-Theoretical Approach for Motif Discovery in Protein Sequences	4	3	1	0
Cancer Progression Prediction Using Gene Interaction Regularized Elastic Net	1	1	1	2
Graphical Representation and Similarity Analysis of Protein Sequences Based on Fractal Interpolation	2	0	1	1
On the Variable Ordering in Subgraph Isomorphism Algorithms	1	3	6	0
An Application of Invertibility of Boolean Control Networks to the Control of the Mammalian Cell Cycle	5	4	0	3
Extracting Coevolutionary Features from Protein Sequences for Predicting Protein-Protein Interactions	3	2	2	4
A Visual Interface for Querying Heterogeneous Phylogenetic Databases	3	2	1	3
Transductive Learning for Multi-Label Protein Subchloroplast Localization Prediction	3	1	3	1
Editorial: Special Section on Bio-Inspired Swarm Computing and Engineering	0	0	1	0
2016 Index IEEE/ACM Transactions on Computational Biology and Bioinformatics Vol. 13	0	0	1	0
